,VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year.1,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
1261,632.0,5.89,0.705,2.62,Iodide_Triiodide,0.2,-,-,TiO2 film 12 um thick,-,10 hours,AM 1.5G 100mW/cm2,-,Zhixia Kong and Huizhi Zhou and Jingnan Cui and Tingli Ma and Xichuan Yang and Licheng Sun,A new class of organic dyes based on acenaphthopyrazine for dye-sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,213,10.1016/j.jphotochem.2010.05.017,152--157,02-Mar,,01/01/2010,Kong_2010,,,CCCCN(c1ccc2c3c1cccc3c1c2[nH]c2c([nH]1)cc(c(c2)C(=O)O)C(=O)O)c1ccccc1,acenaphthopyrazine,435.0,608.0,t-BuOH-AN
1262,589.0,3.78,0.663,1.48,Iodide_Triiodide,0.2,-,-,TiO2 film 12 um thick,-,10 hours,AM 1.5G 100mW/cm2,-,Zhixia Kong and Huizhi Zhou and Jingnan Cui and Tingli Ma and Xichuan Yang and Licheng Sun,A new class of organic dyes based on acenaphthopyrazine for dye-sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,213,10.1016/j.jphotochem.2010.05.017,152--157,02-Mar,,01/01/2010,Kong_2010,,,OC(=O)c1cc2[nH]c3c4ccc(c5c4c(c3[nH]c2cc1C(=O)O)ccc5)N(c1ccccc1)C,acenaphthopyrazine,424.0,607.0,t-BuOH-AN
1268,810.0,11.78,0.6,5.73,Iodide_Triiodide,0.196,-,-,TiO2 film (10 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Jinxiang He and Wenjun Wu and Jianli Hua and Yihua Jiang and Sanyin Qu and Jing Li and Yitao Long and He Tian,Bithiazole-bridged dyes for dye-sensitized solar cells with high open circuit voltage performance,Journal of Materials Chemistry,21,10.1039/c0jm03811c,6054,16,,01/01/2011,He_2011,,,CCCCCCc1nc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c(n1)CCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,457.0,,dichloromethane
1269,754.0,12.06,0.62,5.6,Iodide_Triiodide,0.196,-,-,TiO2 film (10 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Jinxiang He and Wenjun Wu and Jianli Hua and Yihua Jiang and Sanyin Qu and Jing Li and Yitao Long and He Tian,Bithiazole-bridged dyes for dye-sensitized solar cells with high open circuit voltage performance,Journal of Materials Chemistry,21,10.1039/c0jm03811c,6054,16,,01/01/2011,He_2011,,,CCCCCCc1nc(sc1C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCC,triphenylamine,465.0,,dichloromethane
1270,730.0,12.9,0.67,6.23,Iodide_Triiodide,0.28,-,-,TiO2 13 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Huiyang Li and Luying Yang and Runli Tang and Yingqin Hou and Yizhou Yang and Heng Wang and Hongwei Han and Jingui Qin and Qianqian Li and Zhen Li,"Organic dyes incorporating N-functionalized pyrrole as conjugated bridge for dye-sensitized solar cells: Convenient synthesis, additional withdrawing group on the $\uppi$-bridge and the suppressed aggregation",Dyes and Pigments,99,10.1016/j.dyepig.2013.05.030,863--870,3,,01/01/2013,Li_2013,,,N#C/C(=C\c1ccc(n1c1c(F)c(F)c(c(c1F)F)F)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,493.0,,dichloromethane
1271,563.0,18.2,0.57,5.84,Iodide_Triiodide,0.16,-,-,TiO2 12 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Mao Liang and Wei Xu and Fengshi Cai and Peiquan Chen and Bo Peng and Jun Chen and Zhengming Li,New Triphenylamine-Based Organic Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry C,111,10.1021/jp067930a,4465--4472,11,,01/01/2007,Liang_2007,,,C=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/C=C\1/SC(=S)N(C1=O)CC(=O)O,triphenylamine,461.0,602.0,methanol
1272,456.0,4.5,0.62,1.27,Iodide_Triiodide,0.16,-,-,TiO2 12 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Mao Liang and Wei Xu and Fengshi Cai and Peiquan Chen and Bo Peng and Jun Chen and Zhengming Li,New Triphenylamine-Based Organic Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry C,111,10.1021/jp067930a,4465--4472,11,,01/01/2007,Liang_2007,,,C=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/C=C/C=C\1/SC(=S)N(C1=O)CC(=O)O,triphenylamine,474.0,640.0,methanol
1281,730.0,11.4,0.69,5.7,Iodide_Triiodide,-,-,-,TiO2 film,1320 nmol/cm2,18 hours,AM 1.5G 100mW/cm2,-,Shuguang Chen and Hailang Jia and Mengxi Zheng and Kang Shen and Hegen Zheng,Insight into the effects of modifying $\uppi$-bridges on the performance of dye-sensitized solar cells containing triphenylamine dyes,Phys. Chem. Chem. Phys.,18,10.1039/c6cp05173a,29555--29560,42,,01/01/2016,Chen_2016,,,CCCCCCCCOc1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)OCCCCCCCC,triphenylamine,456.0,,THF
1283,725.0,11.6,0.63,5.2,Iodide_Triiodide,0.2304,-,-,TiO2 film (6 um transparent + 6 um scat­tering layer),-,24 hours,AM 1.5G 100mW/cm2,-,Xuefeng Lu and Xiaowei Jia and Zhong-Sheng Wang and Gang Zhou,X-shaped organic dyes with a quinoxaline bridge for use in dye-sensitized solar cells,Journal of Materials Chemistry A,1,10.1039/c3ta11398a,9697,34,,01/01/2013,Lu_2013,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(c2c1nc(c1ccc(s1)/C=C(\C(=O)O)/C#N)c(n2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,triphenylamine,528.0,,toluene
1284,720.0,13.2,0.65,6.1,Iodide_Triiodide,0.2304,-,-,TiO2 film (6 um transparent + 6 um scat­tering layer),-,24 hours,AM 1.5G 100mW/cm2,-,Xuefeng Lu and Xiaowei Jia and Zhong-Sheng Wang and Gang Zhou,X-shaped organic dyes with a quinoxaline bridge for use in dye-sensitized solar cells,Journal of Materials Chemistry A,1,10.1039/c3ta11398a,9697,34,,01/01/2013,Lu_2013,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1scc(c1)c1nc2cccc(c2nc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,triphenylamine,542.0,,toluene
1285,750.0,12.23,0.73,6.74,Iodide_Triiodide,-,-,-,TiO2 film,-,-,AM 1.5G 100mW/cm2,-,Xunshan Liu and Zhencai Cao and Hongli Huang and Xuxu Liu and Yingzi Tan and Huajie Chen and Yong Pei and Songting Tan,Novel D{\textendash}D{\textendash}$\uppi$-A organic dyes based on triphenylamine and indole-derivatives for high performance dye-sensitized solar cells,Journal of Power Sources,248,10.1016/j.jpowsour.2013.09.106,400--406,,,01/01/2014,Liu_2014,,,N#CSc1cn(c2c1cc(cc2)c1cc(c(s1)/C=C(/C(=O)O)\C#N)C)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C,triphenylamine,426.0,606.0,chloroform
1286,760.0,9.78,0.74,5.53,Iodide_Triiodide,-,-,-,TiO2 film,-,-,AM 1.5G 100mW/cm2,-,Xunshan Liu and Zhencai Cao and Hongli Huang and Xuxu Liu and Yingzi Tan and Huajie Chen and Yong Pei and Songting Tan,Novel D{\textendash}D{\textendash}$\uppi$-A organic dyes based on triphenylamine and indole-derivatives for high performance dye-sensitized solar cells,Journal of Power Sources,248,10.1016/j.jpowsour.2013.09.106,400--406,,,01/01/2014,Liu_2014,,,N#C/C(=C\c1sc(cc1C)c1ccc2c(c1)ccn2c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)/C(=O)O,triphenylamine,430.0,613.0,chloroform
1287,523.0,14.72,68.0,5.26,Iodide_Triiodide,0.25,-,-,TiO2 12 um thick,-,12 hours,AM 1.5G 100mW/cm2,-,Fuling Guo and Xuepeng Liu and Yong Ding and Fantai Kong and Wangchao Chen and Li Zhou and Songyuan Dai,Broad spectral-response organic D{\textendash}A{\textendash}$\uppi${\textendash}A sensitizer with pyridine-diketopyrrolopyrrole unit for dye-sensitized solar cells,{RSC} Adv.,6,10.1039/c5ra27288b,13433--13441,16,,01/01/2016,Guo_2016,,,CCCCC(Cn1c(c2ccc(cn2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)c2c(c1=O)c(n(c2=O)CC(CCCC)CC)c1ccc(cn1)c1ccc(s1)C=C(C(=O)O)C#N)CC,triphenylamine,564.0,,THF
1289,714.0,11.54,0.67,5.49,Iodide_Triiodide,0.16,-,-,TiO2 5 um thick,300 nmol/cm2,4 hours,AM 1.5G 100mW/cm2,-,Roberto Grisorio and Luisa De Marco and Roberto Giannuzzi and Giuseppe Gigli and Gian Paolo Suranna,Molecular engineering of largely $\uppi$-extended metal-free sensitizers containing benzothiadiazole units: Approaching 10{\%} efficiency dye-sensitized solar cells using iodine-based electrolytes,Dyes and Pigments,131,10.1016/j.dyepig.2016.04.020,282--292,,,01/01/2016,Grisorio_2016,,,CCCCCCc1cc(sc1c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)OCC(CCCCC)CC)c1ccc(cc1)c1ccc(cc1)OCC(CCCCC)CC,triphenylamine,524.0,,THF
1291,745.0,10.22,0.59,4.48,Iodide_Triiodide,0.196,-,-,TiO2 film (10 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Jinxiang He and Wenjun Wu and Jianli Hua and Yihua Jiang and Sanyin Qu and Jing Li and Yitao Long and He Tian,Bithiazole-bridged dyes for dye-sensitized solar cells with high open circuit voltage performance,Journal of Materials Chemistry,21,10.1039/c0jm03811c,6054,16,,01/01/2011,He_2011,,,CCCCCCc1nc(sc1c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c1nc(c(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCCCC,triphenylamine,460.0,,dichloromethane
1292,782.0,8.92,0.6,4.2,Iodide_Triiodide,0.196,-,-,TiO2 film (10 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Jinxiang He and Wenjun Wu and Jianli Hua and Yihua Jiang and Sanyin Qu and Jing Li and Yitao Long and He Tian,Bithiazole-bridged dyes for dye-sensitized solar cells with high open circuit voltage performance,Journal of Materials Chemistry,21,10.1039/c0jm03811c,6054,16,,01/01/2011,He_2011,,,CCCCCCc1nc(sc1c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c1nc(c(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CCCCCC,triphenylamine,410.0,,dichloromethane
1293,790.0,10.51,0.61,5.05,Iodide_Triiodide,0.196,-,-,TiO2 film (10 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Jinxiang He and Wenjun Wu and Jianli Hua and Yihua Jiang and Sanyin Qu and Jing Li and Yitao Long and He Tian,Bithiazole-bridged dyes for dye-sensitized solar cells with high open circuit voltage performance,Journal of Materials Chemistry,21,10.1039/c0jm03811c,6054,16,,01/01/2011,He_2011,,,CCCCCCc1nc(sc1c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c1sc(c(n1)CCCCCC)C#Cc1ccc(cc1)/C=C(/C(=O)O)\C#N,triphenylamine,426.0,,dichloromethane
1294,665.0,6.47,0.672,2.86,Iodide_Triiodide,0.24,-,-,TiO2 film (12 um transparent + 6 um scat­tering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Jian He and Caishun Zhang and Chunjiang Qin and Liyuan Han and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Effects of various $\uppi$-conjugated spacers in thiadiazole[3,4-c]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells",J. Mater. Chem. A,3,10.1039/c4ta05350h,3103--3112,6,,01/01/2015,Hua_2015,,,CCCCCCc1cc(sc1c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,554.0,,dichloromethane
1295,657.0,8.42,0.694,3.84,Iodide_Triiodide,0.24,-,-,TiO2 film (12 um transparent + 6 um scat­tering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Jian He and Caishun Zhang and Chunjiang Qin and Liyuan Han and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Effects of various $\uppi$-conjugated spacers in thiadiazole[3,4-c]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells",J. Mater. Chem. A,3,10.1039/c4ta05350h,3103--3112,6,,01/01/2015,Hua_2015,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ncc(c2c1nsn2)c1sc(cc1CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N,triphenylamine,548.0,,dichloromethane
1296,717.0,9.05,0.687,4.46,Iodide_Triiodide,0.24,-,-,TiO2 film (12 um transparent + 6 um scat­tering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Jian He and Caishun Zhang and Chunjiang Qin and Liyuan Han and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Effects of various $\uppi$-conjugated spacers in thiadiazole[3,4-c]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells",J. Mater. Chem. A,3,10.1039/c4ta05350h,3103--3112,6,,01/01/2015,Hua_2015,,,CCCCCCc1cc(sc1c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(cc1)/C=C(/C(=O)O)\C#N,triphenylamine,540.0,,dichloromethane
1297,749.0,12.54,0.671,6.3,Iodide_Triiodide,0.24,-,-,TiO2 film (12 um transparent + 6 um scat­tering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Jian He and Caishun Zhang and Chunjiang Qin and Liyuan Han and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Effects of various $\uppi$-conjugated spacers in thiadiazole[3,4-c]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells",J. Mater. Chem. A,3,10.1039/c4ta05350h,3103--3112,6,,01/01/2015,Hua_2015,,,CCCCCCc1cc(sc1c1ncc(c2c1nsn2)c1sc(cc1CCCCCC)c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,triphenylamine,563.0,,dichloromethane
1298,650.0,3.24,0.627,1.32,Iodide_Triiodide,0.24,-,-,TiO2 film (12 um transparent + 6 um scat­tering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Jian He and Caishun Zhang and Chunjiang Qin and Liyuan Han and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Effects of various $\uppi$-conjugated spacers in thiadiazole[3,4-c]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells",J. Mater. Chem. A,3,10.1039/c4ta05350h,3103--3112,6,,01/01/2015,Hua_2015,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ncc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,triphenylamine,591.0,,dichloromethane
1299,597.0,2.51,0.73,1.1,Iodide_Triiodide,0.159,-,-,TiO2 film (3 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Xiaomei Huang and Yi Fang and Xin Li and Yongshu Xie and Weihong Zhu,Novel dyes based on naphthalimide moiety as electron acceptor for efficient dye-sensitized solar cells,Dyes and Pigments,90,10.1016/j.dyepig.2011.01.010,297--303,3,,01/01/2011,Huang_2011,,,OC(=O)Cn1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,419.0,,Methanol-chloroform
1300,662.0,4.62,0.74,2.27,Iodide_Triiodide,0.159,-,-,TiO2 film (3 um transparent + 4 um scat­tering layer),-,12 hours,AM 1.5G 100mW/cm2,-,Xiaomei Huang and Yi Fang and Xin Li and Yongshu Xie and Weihong Zhu,Novel dyes based on naphthalimide moiety as electron acceptor for efficient dye-sensitized solar cells,Dyes and Pigments,90,10.1016/j.dyepig.2011.01.010,297--303,3,,01/01/2011,Huang_2011,,,OC(=O)Cn1c(=O)c2ccc(c3c2c(c1=O)ccc3c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,438.0,,Methanol-chloroform
1301,785.0,12.34,0.7,6.74,Iodide_Triiodide,0.25,-,-,TiO2 film (10 um transparent + 3 um scat­tering layer),-,16-17 hours,AM 1.5G 100mW/cm2,-,Xiao Jiang and Karl Martin Karlsson and Erik Gabrielsson and Erik M. J. Johansson and Maria Quintana and Martin Karlsson and Licheng Sun and Gerrit Boschloo and Anders Hagfeldt,Highly Efficient Solid-State Dye-Sensitized Solar Cells Based on Triphenylamine Dyes,Advanced Functional Materials,21,10.1002/adfm.201002319,2944--2952,15,,01/01/2011,Jiang_2011,,,CCCCOc1ccc(c(c1)OCCCC)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,500.0,658.0,dichloromethane
1302,663.0,12.25,0.68,5.51,Iodide_Triiodide,0.25,-,-,TiO2 film (10 um transparent + 3 um scat­tering layer),-,16-17 hours,AM 1.5G 100mW/cm2,-,Xiao Jiang and Karl Martin Karlsson and Erik Gabrielsson and Erik M. J. Johansson and Maria Quintana and Martin Karlsson and Licheng Sun and Gerrit Boschloo and Anders Hagfeldt,Highly Efficient Solid-State Dye-Sensitized Solar Cells Based on Triphenylamine Dyes,Advanced Functional Materials,21,10.1002/adfm.201002319,2944--2952,15,,01/01/2011,Jiang_2011,,,CCCCOc1cc(OCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,504.0,646.0,dichloromethane
1305,765.0,14.2,0.66,7.17,Iodide_Triiodide,-,-,-,TiO2 film (6 um transparent + 4 um scat­tering layer),440 nmol/mm3,20 hours,AM 1.5G 100mW/cm2,-,Erika Kozma and Isabella Concina and Antonio Braga and Laura Borgese and Laura E. Depero and Alberto Vomiero and Giorgio Sberveglieri and Marinella Catellani,Metal-free organic sensitizers with a sterically hindered thiophene unit for efficient dye-sensitized solar cells,Journal of Materials Chemistry,21,10.1039/c1jm12181b,13785,36,,01/01/2011,Kozma_2011,,,CCCCc1c(sc(c1CCCC)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,477.0,,chloroform
1308,715.0,13.5,0.65,6.27,Iodide_Triiodide,-,-,-,TiO2 film (6 um transparent + 4 um scat­tering layer),350 nmol/mm3,20 hours,AM 1.5G 100mW/cm2,-,Erika Kozma and Isabella Concina and Antonio Braga and Laura Borgese and Laura E. Depero and Alberto Vomiero and Giorgio Sberveglieri and Marinella Catellani,Metal-free organic sensitizers with a sterically hindered thiophene unit for efficient dye-sensitized solar cells,Journal of Materials Chemistry,21,10.1039/c1jm12181b,13785,36,,01/01/2011,Kozma_2011,,,CCCCc1c(sc(c1CCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1cc2c(s1)c1c(s2)cc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,465.0,,chloroform
1311,540.0,11.9,0.59,3.81,Iodide_Triiodide,0.16,-,-,TiO2 film (8 um transparent + 8 um scat­tering layer),-,24 hours,AM 1.5G 100mW/cm2,-,Dong Hyun Lee and Myung Jun Lee and Hae Min Song and Bok Joo Song and Kang Deuk Seo and Mariachiara Pastore and Chiara Anselmi and Simona Fantacci and Filippo De Angelis and Mohammad K. Nazeeruddin and Michael Gräetzel and Hwan Kyu Kim,Organic dyes incorporating low-band-gap chromophores based on $\uppi$-extended benzothiadiazole for dye-sensitized solar cells,Dyes and Pigments,91,10.1016/j.dyepig.2011.03.015,192--198,2,,01/01/2011,Lee_2011,,,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,533.0,745.0,THF
1317,425.0,16.17,67.0,4.59,Iodide_Triiodide,0.25,-,-,TiO2 12 um thick,-,12 hours,AM 1.5G 100mW/cm2,-,Fuling Guo and Xuepeng Liu and Yong Ding and Fantai Kong and Wangchao Chen and Li Zhou and Songyuan Dai,Broad spectral-response organic D{\textendash}A{\textendash}$\uppi${\textendash}A sensitizer with pyridine-diketopyrrolopyrrole unit for dye-sensitized solar cells,{RSC} Adv.,6,10.1039/c5ra27288b,13433--13441,16,,01/01/2016,Guo_2016,,,CCCCCCCCn1c(=O)c2c(c1c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c(=O)n(c2c1ccc(cn1)c1ccc(s1)C=C(C(=O)O)C#N)CCCCCCCC,triphenylamine,588.0,,THF
1326,707.0,12.62,0.61,5.43,Iodide_Triiodide,0.45,-,-,TiO2 11.5 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Soo-Byung Ko and An-Na Cho and Mi-Jeong Kim and Chang-Ryul Lee and Nam-Gyu Park,Alkyloxy substituted organic dyes for high voltage dye-sensitized solar cell: Effect of alkyloxy chain length on open-circuit voltage,Dyes and Pigments,94,10.1016/j.dyepig.2011.10.014,88--98,1,,01/01/2012,Ko_2012,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)C=CC(=C(C(=O)O)C#N)c1cc(OC)ccc1OC,triphenylamine,305.0,,ethanol
1327,714.0,13.22,0.64,6.02,Iodide_Triiodide,0.45,-,-,TiO2 11.5 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Soo-Byung Ko and An-Na Cho and Mi-Jeong Kim and Chang-Ryul Lee and Nam-Gyu Park,Alkyloxy substituted organic dyes for high voltage dye-sensitized solar cell: Effect of alkyloxy chain length on open-circuit voltage,Dyes and Pigments,94,10.1016/j.dyepig.2011.10.014,88--98,1,,01/01/2012,Ko_2012,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)C=CC(=C(C(=O)O)C#N)c1cc(OCCC)ccc1OCCC,triphenylamine,306.0,,ethanol
1328,745.0,12.83,0.64,6.12,Iodide_Triiodide,0.45,-,-,TiO2 11.5 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Soo-Byung Ko and An-Na Cho and Mi-Jeong Kim and Chang-Ryul Lee and Nam-Gyu Park,Alkyloxy substituted organic dyes for high voltage dye-sensitized solar cell: Effect of alkyloxy chain length on open-circuit voltage,Dyes and Pigments,94,10.1016/j.dyepig.2011.10.014,88--98,1,,01/01/2012,Ko_2012,,,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)C=CC(=C(C(=O)O)C#N)c1cc(OCCCCCC)ccc1OCCCCCC,triphenylamine,306.0,,ethanol
1330,697.0,20.85,0.666,9.67,Iodide_Triiodide,0.27,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,without mask,Hunbae Im and Sukwon Kim and Chanmoo Park and Seok-Hoon Jang and Chang-Ju Kim and Kyungkon Kim and Nam-Gyu Park and Chulhee Kim,High performance organic photosensitizers for dye-sensitized solar cells,Chemical Communications,46,10.1039/b917065k,1335,8,,01/01/2010,Im_2010,,,N#CC(=Cc1cc(OC)c(cc1OC)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,,,-
1331,679.0,14.89,0.701,7.09,Iodide_Triiodide,0.27,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,without mask,Hunbae Im and Sukwon Kim and Chanmoo Park and Seok-Hoon Jang and Chang-Ju Kim and Kyungkon Kim and Nam-Gyu Park and Chulhee Kim,High performance organic photosensitizers for dye-sensitized solar cells,Chemical Communications,46,10.1039/b917065k,1335,8,,01/01/2010,Im_2010,,,N#CC(=Cc1cc(OC)c(cc1OC)C=Cc1cc(OC)c(cc1OC)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,302.0,,ethanol
1332,661.0,16.56,0.65,7.11,Iodide_Triiodide,0.27,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,without mask,Hunbae Im and Sukwon Kim and Chanmoo Park and Seok-Hoon Jang and Chang-Ju Kim and Kyungkon Kim and Nam-Gyu Park and Chulhee Kim,High performance organic photosensitizers for dye-sensitized solar cells,Chemical Communications,46,10.1039/b917065k,1335,8,,01/01/2010,Im_2010,,,N#CC(=Cc1cc(OC)c(cc1OC)C=Cc1cc(OC)c(cc1OC)C=Cc1cc(OC)c(cc1OC)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,304.0,,ethanol
1338,690.0,13.7,0.61,5.71,Iodide_Triiodide,0.28,-,-,TiO2 13 um thick,-,24 hours,AM 1.5G 100mW/cm2,-,Huiyang Li and Luying Yang and Runli Tang and Yingqin Hou and Yizhou Yang and Heng Wang and Hongwei Han and Jingui Qin and Qianqian Li and Zhen Li,"Organic dyes incorporating N-functionalized pyrrole as conjugated bridge for dye-sensitized solar cells: Convenient synthesis, additional withdrawing group on the $\uppi$-bridge and the suppressed aggregation",Dyes and Pigments,99,10.1016/j.dyepig.2013.05.030,863--870,3,,01/01/2013,Li_2013,,,N#C/C(=C\c1ccc(n1c1ccc(cc1)C#N)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,490.0,,dichloromethane
