,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE
529,CCCCn1c2cc(C#Cc3ccc4c(c3)Sc3c(N4CCCCCC)ccc(c3)/C=C(\C(=O)O)/C#N)ccc2c2c1cc(C#Cc1ccc3c(c1)Sc1c(N3CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N)cc2,phenothiazine,413.0,,THF,797.0,11.78,0.7070000000000001,6.64
530,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,phenothiazine,449.0,,THF,814.0,11.38,0.726,6.72
531,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)C#Cc1ccc(cc1)c1ccc(cc1)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,phenothiazine,449.0,,THF,764.0,10.9,0.728,6.06
533,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCCCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,402.0,,DMF,695.0,8.817,0.68,4.03
535,N#C/C(=C\c1ccc(cc1)N(c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,405.0,,DMF,675.0,5.76,0.6853,2.66
536,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)c2ccc(cc2)/C=C/2\SC(=S)N(C2=O)CC(=O)O)/C1=O,phenothiazine,476.0,,DMF,558.0,2.73,0.7346,1.12
537,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(c2c1nsn2)c1ccc2c(c1)Sc1c(N2CCCCCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,486.0,580.0,ethanol,780.0,15.42,0.68,8.5
539,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1ccc2c(c1)ccc(c2c1c(OCCCCC(CC)CC)ccc2c1cccc2)OCCCCC(CC)CC)CC,phenothiazine,472.0,,THF,706.0,7.12,0.5463,2.74
540,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1ccc2c(c1)ccc(c2)OCCCCC(CC)CC)CC,phenothiazine,466.0,,THF,734.0,12.06,0.6006,5.32
541,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCC(CC)CC)CC,phenothiazine,471.0,,THF,730.0,12.63,0.6175,5.64
551,CCCCCCSC1=C(SCCCCCC)SC(=Cc2ccc(cc2)c2ccc(cc2)c2ccc3c(c2)N(CCCC)c2c(S3)ccc(c2)/C=C(/C(=O)O)\C#N)S1,phenothiazine,382.0,611.0,THF,780.0,13.84,0.71,7.66
552,CCCCCCOc1cc(ccc1C=C1SC(=C(S1)SCCCCCC)SCCCCCC)c1ccc2c(c1)N(CCCC)c1c(S2)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,387.0,615.0,THF,720.0,11.51,0.73,6.05
553,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)c1ccc(cc1F)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,phenothiazine,383.0,608.0,THF,780.0,11.86,0.73,6.75
554,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,phenothiazine,450.0,634.0,THF,680.0,10.02,0.73,4.97
555,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,phenothiazine,467.0,642.0,THF,670.0,9.33,0.73,4.56
556,CCCCN1c2cc(ccc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,437.0,620.0,THF,730.0,8.6,0.7,4.39
559,CCCCC(CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)CC,phenothiazine,467.0,,dichloromethane,705.0,14.0,0.69,6.82
560,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C\c1cc(c2ccc(s2)/C=C(\C(=O)O)/C#N)c(cc1/C=C/c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccc(s1)C=C(C(=O)O)C#N,phenothiazine,395.0,550.0,ethanol,648.0,10.8,0.6365,4.5
561,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1cc(c(cc1c1ccc(s1)/C=C(/C(=O)O)\C#N)/C=C/c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,382.0,549.0,ethanol,528.5,4.8,0.5935,1.5
564,CCCCCCC(Cc1cc(sc1c1sc2c(c1)c1nonc1c1c2sc(c1)c1sc(cc1CC(CCCCCC)CCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CC)cccc1)CCCC,phenothiazine,462.0,698.0,THF,690.0,10.92,0.7,5.27
565,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)/C=C(\C(=O)O)/C#N,phenothiazine,530.0,,dichloromethane,512.0,7.7,0.67,2.65
566,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)ccc(c1)C1=C(C)C2[N+](=C1C)[B-](F)(F)n1c(C2CCCCC)c(C)c(c1C)c1ccc(o1)/C=C(/C(=O)O)\C#N)C)(F)F)C)c1ccc(o1)/C=C(\C(=O)O)/C#N,phenothiazine,555.0,,dichloromethane,548.0,11.82,0.7,4.52
567,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)ccc(c1)C1=C(C)C2[N+](=C1C)[B-](F)(F)n1c(C2CCCCC)c(C)c(c1C)/C=C(/C(=O)O)\C#N)C)(F)F)C)/C=C(/C(=O)O)\C#N,phenothiazine,534.0,,dichloromethane,522.0,10.02,0.67,3.52
572,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nc(c1csc(c1)C)c(n2)c1ccc(s1)C)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,carbazole,481.0,,THF,690.0,10.54,0.63,4.63
573,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,carbazole,494.0,,THF,680.0,12.21,0.65,5.46
574,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)c1ccc(s1)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCCN2c3ccccc3Sc3c2ccc(c3)C2=C(C)C3=C(CCCCC)c4n([B-]([N+]3=C2C)(F)F)c(c(c4C)/C=C(/C(=O)O)\C#N)C)cccc1)C,phenothiazine,535.0,,CHCl3,590.0,12.16,0.68,4.89
575,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCCN2c3ccccc3Sc3c2ccc(c3)C2=C(C)C3=C(CCCCC)c4n([B-]([N+]3=C2C)(F)F)c(c(c4C)/C=C(/C(=O)O)\C#N)C)cccc1)C,phenothiazine,532.0,,CHCl3,550.0,9.44,0.63,3.24
576,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)C,phenothiazine,532.0,,CHCl3,500.0,6.46,0.71,2.28
577,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C,phenothiazine,532.0,,CHCl3,490.0,6.17,0.71,2.14
578,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCOc2ccc(cc2)OCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,424.0,,CH2Cl2/MeOH,756.0,12.26,0.66,6.14
579,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCOc2cccc(c2)OCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,414.0,,CH2Cl2/MeOH,740.0,11.92,0.66,5.85
580,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCOc2ccccc2OCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,420.0,,CH2Cl2/MeOH,705.0,10.92,0.68,5.25
582,CCCCCCCCC1(CCCCCCCC)c2cc(ccc2c2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc3c(c2)sc2c3sc3c2ccc(c3)c2cc(c(s2)C=C(C(=O)O)C#N)C)ccc(c1)c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1c2cccc1,phenothiazine,420.0,,chloroform,689.0,9.56,0.69,4.54
584,CCCCN1c2ccc(cc2Sc2c1cccc2)c1nc2c(n1CCCC)c(ccc2c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)/C=C(/C(=O)O)\C#N,phenothiazine,370.0,491.0,THF,670.0,3.76,0.74,1.89
585,CCCCN1c2ccc(cc2Sc2c1cccc2)c1nc2c(n1CCCC)c(ccc2c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,427.0,513.0,THF,650.0,6.89,0.73,3.28
586,CCCCN1c2ccc(cc2Sc2c1cccc2)c1nc2c(n1CCCC)c(ccc2c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,444.0,534.0,THF,700.0,6.71,0.66,3.13
587,CCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)C=C1SC(=S)N(C1=O)CC(=O)O,phenothiazine,489.0,635.0,DMF,658.0,10.6,0.7,4.91
588,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1cc2c(s1)c1c(n2CCCCCC)ccs1,phenothiazine,488.0,,dichloromethane,610.0,14.2,0.67,5.8
589,CCCCCCOc1ccc(cc1)n1c2cc(sc2c2c1ccs2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,473.0,,dichloromethane,640.0,13.5,0.66,5.7
590,CCCCC(CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\C(=O)O)/C=C/C1=CC(=C2C(=O)N(CC)C(=S)N(C2=O)CC)C=C(O1)/C=C\c1ccc2c(c1)Sc1c(N2CC(CCCC)CC)ccc(c1)/C=C/C(=O)O)CC,phenothiazine,520.0,,DMF,571.0,2.22,0.73,0.93
591,CCCCC(CN1c2ccc(cc2Sc2c1ccc(c2)/C=C/C(=O)O)/C=C\C1=CC(=C(C#N)C#N)C=C(O1)/C=C/c1ccc2c(c1)Sc1c(N2CC(CCCC)CC)ccc(c1)/C=N\C(=O)O)CC,phenothiazine,478.0,,DMF,661.0,6.7,0.64,2.82
592,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)Sc1c(N2CC(CCCC)CC)ccc(c1)c1ccc(cc1)OCCCC,phenothiazine,476.0,,dichloromethane,742.0,17.18,0.59,7.48
593,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)Sc1c(N2CC(CCCC)CC)cccc1,phenothiazine,488.0,,dichloromethane,688.0,15.4,0.62,6.56
594,CCCCC(CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,phenothiazine,500.0,,dichloromethane,661.0,14.63,0.63,6.14
597,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)C=C1SC(=C(S1)SC)SC,phenothiazine,448.0,635.0,dichloromethane,690.0,10.2,0.74,5.22
598,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=C(S1)SC)SC)c1ccc(cc1)C=C(C(=O)O)C#N,phenothiazine,472.0,666.0,dichloromethane,640.0,12.63,0.72,5.81
600,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1nc(c([nH]1)c1ccc(cc1)OC)c1ccc(cc1)OC,phenothiazine,403.0,,DMF/MeOH,690.0,11.5,0.69,5.52
601,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1nc(c([nH]1)c1ccccc1)c1ccccc1,phenothiazine,406.0,,DMF/MeOH,700.0,10.58,0.66,4.87
603,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cc(cc1)c1sc2c(c1)sc1c2c(OCC(CCCC)CC)c(OCC(CCCC)CC)c2c1sc1c2sc(c1)/C=C(\C(=O)O)/C#N)CC,carbazole,467.0,,THF,680.0,12.23,0.64,5.34
604,CCCCC(CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\C(=O)O)/C=C/C1=C/C(=C\2/C(=O)c3c(C2=C(C#N)C#N)cccc3)/C=C(O1)/C=C\c1ccc2c(c1)Sc1c(N2CC(CCCC)CC)ccc(c1)/C=C/C(=O)O)CC,phenothiazine,581.0,,DMF,473.0,0.379,0.65,0.12
605,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,402.0,,DMF,695.0,8.713,0.68,4.0
606,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)c1cc2c(s1)c1c(n2c2ccc3c(c2)C(CCCC)(CCCC)c2c3cccc2)cc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,493.0,,THF,694.4,10.88,0.65,4.87
608,CCCCCCOc1cc(OCCCCCC)ccc1n1c2cc(sc2c2c1ccs2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,483.0,,dichloromethane,670.0,13.0,0.66,5.75
609,CCCCCCOc1cc(OCCCCCC)ccc1n1c2cc(sc2c2c1cc(s2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,513.0,,dichloromethane,720.0,15.5,0.69,7.7
610,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(c2c1nn(n2)CCCCCCCC)c1ccc2c(c1)Sc1c(N2CCCCCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,474.0,613.0,ethanol,780.0,12.8,0.68,7.0
611,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1cccc2)c1cccc(n1)c1ccc2c(c1)Sc1c(N2CCCCCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,472.0,663.0,ethanol,820.0,11.57,0.6826,6.7
614,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,438.0,,acetonitrile,820.0,11.3,0.56,5.24
615,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,438.0,,acetonitrile,879.0,13.7,0.62,7.45
616,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,475.0,,acetonitrile,747.0,6.9,0.5,2.57
617,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C#N)C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,471.0,,acetonitrile,653.0,2.5,0.43,0.7
618,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C#N)C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,471.0,,acetonitrile,700.0,2.5,0.61,1.06
628,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/P(=O)(O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,,,-,1041.0,6.17,0.7,3.4
630,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N,carbazole,398.0,,CH2Cl2,760.0,3.07,0.74,1.54
631,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)OC)c1ccccc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,carbazole,424.0,,CH2Cl2,710.0,5.04,0.72,2.54
632,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,carbazole,406.0,,CH2Cl2,770.0,7.2,0.68,3.23
633,N#CC(=Cc1ccc(cc1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,carbazole,375.0,548.0,CHCl3,770.0,1.712,0.6409999999999999,0.695
634,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,carbazole,464.0,,THF,700.0,10.29,0.68,4.87
640,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,carbazole,433.0,,CH2Cl2,635.0,7.35,0.67,3.64
641,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,457.0,,CH2Cl2,666.0,9.7,0.68,4.8
642,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,443.0,,CH2Cl2,601.0,11.31,0.71,5.69
643,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,carbazole,416.0,,CH2Cl2,612.0,9.94,0.69,4.82
644,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,487.0,,CH2Cl2,750.0,9.98,0.67,4.62
660,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,480.0,,20% THF-toluene,760.0,7.09,0.71,3.9
661,COCCCCc1cc(sc1c1sc(c(c1)CCCCOC)c1sc(c(c1)CCCCOC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,469.0,,20% THF-toluene,710.0,5.65,0.72,2.9
662,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,485.0,,20% THF-toluene,770.0,7.11,0.73,4.0
665,N#CC(=Cc1ccc(s1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,carbazole,409.0,555.0,CHCl3,555.0,2.186,0.626,0.8190000000000001
668,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,489.0,579.0,dichloromethane,630.0,18.1,0.6,6.83
669,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,472.0,572.0,dichloromethane,660.0,15.3,0.6,6.05
670,N#C/C(=C/c1cn(c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,375.0,,ethanol,680.0,4.39,0.71,2.15
671,N#CC(=Cc1ccc2c(c1)c1ccccc1n2CC)C(=O)O,carbazole,385.0,504.0,acetonitrile,595.0,5.76,0.71,2.43
678,CCCCCCCCn1c2ccc(cc2c2c1cc1c3ccccc3n(c1c2)CCCCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N,carbazole,501.0,,toluene,700.0,15.5,0.62,6.7
679,CCCCCCCCn1c2ccc(cc2c2c1cc1c3ccccc3n(c1c2)CCCCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N,carbazole,492.0,,toluene,710.0,15.4,0.67,7.3
685,CCCCCCn1c2ccc(cc2c2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)C=C1SC(=S)N(C1=O)CC(=O)O,carbazole,450.0,521.0,DMF,589.0,7.61,0.63,2.81
693,CCCCC(Cn1nc2c(n1)c1cc(sc1c1c2cc(s1)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cccc1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,carbazole,,,-,712.0,11.43,0.73,7.52
697,CCCCOCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1COCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,477.0,,20% THF-toluene,770.0,7.06,0.74,4.0
698,CCCCn1c2cc(ccc2c2c1cc(cc2)/C=C(/C(=O)O)\C#N)n1c2ccccc2c2c1cccc2,carbazole,387.0,,Dichloromethane,555.0,2.79,0.64,0.99
699,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,440.0,,Dichloromethane,635.0,9.98,0.66,4.22
700,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,443.0,,Dichloromethane,666.0,11.22,0.66,4.95
701,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,476.0,,Dichloromethane,601.0,15.78,0.64,6.04
702,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,478.0,,Dichloromethane,612.0,14.0,0.64,5.48
709,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,,,-,730.0,15.22,0.75,8.3
710,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1ccc2c(c1)c1ccccc1n2CC)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,473.0,,chloroform,740.0,14.0,0.74,7.7
711,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2CC)/C(=O)O,carbazole,443.0,,chloroform,630.0,10.8,0.71,4.8
715,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1ccc2c(c1)c1ccccc1n2CC)c1sc(cc1CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,463.0,,chloroform,710.0,11.1,0.71,5.6
717,N#CC(=Cc1ccc(cc1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,350.0,495.0,CHCl3-CH3OH,690.0,5.41,0.63,2.35
719,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,carbazole,462.0,537.0,Dichloromethane,793.0,10.76,0.64,5.51
720,CCCCCCn1c2ccc(cc2c2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,carbazole,412.0,551.0,Dichloromethane,682.0,4.55,0.69,2.14
724,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1sc(cc1c1ccc(cc1)OC)c1ccc(cc1)OC,carbazole,395.0,,CH2Cl2,650.0,3.3,0.67,1.44
725,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)OC,carbazole,436.0,,CH2Cl2,750.0,8.59,0.71,4.57
726,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)OC,carbazole,408.0,,CH2Cl2,740.0,4.7,0.73,2.52
727,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(cc1)OC)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,459.0,,CH2Cl2,760.0,8.47,0.7,4.54
