,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE,Molecule Graph
1517,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)/C(=O)O,triphenylamine,513.0,,dichloromethane,709.0,11.71,0.7086,5.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F5D0>
1521,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1cccs1.OC(=O)C(=C)C#N,triphenylamine,404.0,548.0,acetonitrile,735.0,5.42,0.69,2.75,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F580>
1522,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C1(CC=CS1)C=Cc1cccs1.OC(=O)C(=C)C#N,triphenylamine,445.0,621.0,acetonitrile,635.0,6.55,0.66,2.73,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F530>
1523,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=CC1(CC=CS1)C=Cc1cccs1.OC(=O)C(=C)C#N,triphenylamine,463.0,644.0,acetonitrile,580.0,4.56,0.64,1.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F4E0>
1524,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc2c(c1)C(C)(C)c1c2cccc1)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N,triphenylamine,430.0,,THF,641.0,16.13,0.718,7.42,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F490>
1525,CCCCCCC1=CC(=c2sc(=C3SC(C=C3CCCCCC)(C=O)/C=C(/C(=O)O)\C#N)cc2CCCCCC)SC1c1cc2c(s1)cc(cc2)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc2c(c1)C(C)(C)c1c2cccc1,triphenylamine,430.0,,THF,664.0,17.45,0.742,8.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F440>
1526,N#C/C(=C\c1cc(c(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,462.0,,THF,680.0,14.5,0.61,5.95,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F3F0>
1527,N#C/C(=C\c1ccc(s1)c1cc(c(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,465.0,,THF,650.0,15.6,0.6,6.04,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F3A0>
1528,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc(c(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,462.0,,THF,610.0,11.4,0.59,4.11,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F350>
1532,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,467.0,,dichloromethane,680.0,14.17,0.66,6.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F300>
1546,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)/C=C\2/SC(=S)N(C2=O)CC(=O)O)c2ccccc2)/C1=O,triphenylamine,497.0,577.0,chloroform,560.0,14.2,0.6,4.77,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F2B0>
1548,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)/C=C\2/SC(=S)N(C2=O)CC(=O)O)c2ccc(cc2)/C=C\2/SC(=S)N(C2=O)CC(=O)O)/C1=O,triphenylamine,480.0,,ethanol,530.0,11.0,0.51,2.97,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F260>
1550,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(cc1)C=C(C(=O)O)C#N,triphenylamine,530.0,,dichloromethane,600.0,8.55,0.62,3.16,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F210>
1551,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,545.0,,dichloromethane,580.0,11.15,0.59,3.81,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F1C0>
1552,N#CC(=Cc1ccc(s1)c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,535.0,,dichloromethane,484.0,7.58,0.65,2.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F170>
1553,N#CC(=Cc1ccc(cc1)c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,500.0,,dichloromethane,727.0,7.72,0.75,4.23,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F120>
1561,CCCCCCOc1cc(/C=C(\C(=O)O)/C#N)c(cc1n1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)c1ccccc1)OCCCCCC,triphenylamine,405.0,,dioxane,590.0,5.56,0.65,2.13,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F0D0>
1566,CCCCn1c(=O)c2c(c1c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c(=O)n(c2c1ccc(cc1)c1ccc(o1)/C=C(/C(=O)O)\C#N)CCCC,triphenylamine,525.0,,dichloromethane,541.0,15.96,0.65,5.65,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F080>
1570,CCCCn1c(c2ccc(cc2)c2ccc(cc2)N(c2ccc(cc2)OC)c2ccc(cc2)OC)c2c(c1=O)c(n(c2=O)CCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,triphenylamine,511.0,,dichloromethane,625.0,14.53,0.66,6.03,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3F030>
1572,N#CC(=Cc1ccc(s1)C1=CC=C2C(=Cc3c2ccc(c3)c2ccc(cc2)N(c2ccc(cc2)C)c2ccc(cc2)C)C1=O)C(=O)O,triphenylamine,477.0,,DMF,650.0,11.46,0.76,5.66,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41F80>
1573,CCC(CCCOc1ccccc1N(c1ccccc1OCCCC(CC)CC)c1ccc(cc1)c1ccc2c(c1)C=C1C2=CC=C(C1=O)c1ccc(s1)C=C(C(=O)O)C#N)CC,triphenylamine,484.0,,DMF,700.0,12.26,0.73,6.26,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41F30>
1584,CCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCC)c1ccc(cc1)c1ccc(s1)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,triphenylamine,460.0,,acetonitrile and tert-butyl alcohol,670.0,10.13,0.68,4.66,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41EE0>
1587,CCCCn1c(=O)c2c(c1c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c(=O)n(c2c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)CCCC,triphenylamine,524.0,,dichloromethane,606.0,10.79,0.68,4.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41E90>
1590,N#C/C(=C\c1ccc(s1)C1=Nc2c(C1(C)C)cc(cc2)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,464.0,,THF,618.0,8.19,0.6970000000000001,3.53,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41E40>
1594,N#C/C(=C\c1ccc(n1C)C1=Nc2c(C1(C)C)cc(cc2)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,395.0,,THF,664.0,5.85,0.738,2.86,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41DF0>
1609,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC,triphenylamine,490.0,,chloroform,684.0,8.77,0.65,3.93,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41DA0>
1610,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc(cc1CCCCCC)c1cc(c(s1)/C=C(\C(=O)O)/C#N)OCCCCC,triphenylamine,495.0,,chloroform,727.0,10.59,0.66,5.06,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41D50>
1611,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc2c(c1)c(c1ccc(cc1)C(C)(C)C)c1c(c2c2ccc(cc2)C(C)(C)C)cc(cc1)c1sc(c(c1)OCCCCC)/C=C(\C(=O)O)/C#N,triphenylamine,490.0,,chloroform,707.0,12.24,0.65,5.59,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41D00>
1619,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)C=C(C(=O)O)C#N,triphenylamine,461.0,620.0,chloroform,680.0,13.57,0.674,6.22,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41CB0>
1621,CCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCC)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1sc(c(c1)CCCCCC)c1ccc(s1)c1sc(cc1CCCCCC)/C=C(\C(=O)O)/C#N,triphenylamine,464.0,700.0,chloroform,590.0,5.82,0.556,1.91,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41C60>
1623,CCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCC)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,489.0,708.0,chloroform,650.0,9.39,0.696,4.25,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41C10>
1625,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,503.0,709.0,chloroform,600.0,7.68,0.696,3.21,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41BC0>
1630,CCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCC)c1ccc(cc1)c1c(sc(c1c1ccc(cc1)N(c1ccc(cc1)OCCCC)c1ccc(cc1)OCCCC)c1ccsc1c1ccc(s1)c1ccc(s1)C=C(C(=O)O)C#N)c1ccc(s1)c1ccc(s1)c1cccs1,triphenylamine,496.0,,THF,724.0,16.28,0.684,8.06,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41B70>
1639,CCCCn1c(c2ccc(cc2)c2ccc(cc2)N(c2ccc(cc2)OC)c2ccc(cc2)OC)c2c(c1=O)c(n(c2=O)CCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,627.0,,dichloromethane,346.0,7.65,0.55,1.45,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41B20>
1643,CCCCCCOc1ccc(cc1)c1c2cc(ccc2c(c2c1ccc(c2)c1cc(c(s1)/C=C(\C(=O)O)/C#N)OCCCCC)c1ccc(cc1)OCCCCCC)c1cc(c(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CCCCCC,triphenylamine,,,-,699.0,14.2,0.63,6.29,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41AD0>
1650,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1cccc(c1)N(c1ccc(cc1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccccc1)/C(=O)O,triphenylamine,435.0,593.0,DMSO:ethanol,646.0,13.4,0.7,6.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41A80>
1651,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)C=C2N(CC)c3c(C2(C)C)cccc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,triphenylamine,418.0,580.0,DMSO:ethanol,616.0,9.3,0.73,4.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41A30>
1653,N#C/C(=C\c1ccc(cc1)N(c1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N)c1ccc(cc1)/C=C/C(=O)O)/c1ccc(cc1)[N+](=O)[O-],triphenylamine,576.0,,THF,530.0,5.1,0.52,1.41,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC419E0>
1655,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/c1ccc(cc1)N(c1ccc(cc1)/C=C\C(=O)O)c1ccc(cc1)/C=C\C(=O)O,triphenylamine,556.0,,THF,610.0,6.9,0.56,2.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41990>
1670,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1(c3c2ccc(c3)c2ccc(cc2)N(c2ccccc2)c2ccccc2)c2ccccc2c2c1cccc2,triphenylamine,450.0,666.0,chloroform,630.0,9.12,0.7170000000000001,4.12,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41940>
1671,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc2c(c1)n(CC)c1c2ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,469.0,556.0,chloroform,660.0,14.79,0.667,6.51,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC418F0>
1672,N#C/C(=C/c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,457.0,667.0,chloroform,700.0,14.25,0.705,7.03,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC418A0>
1673,CCCCCCOc1cc(/C=C(\C(=O)O)/C#N)c(cc1n1nnc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)OCCCCCC,triphenylamine,388.0,,dioxane,690.0,6.85,0.63,3.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41850>
1674,CCCCCCOc1cc(/C=C(\C(=O)O)/C#N)c(cc1n1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)OCCCCCC,triphenylamine,348.0,,dioxane,560.0,4.45,0.63,1.58,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41800>
1675,CCCCCCn1c(/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)ccc1/C=C(/C(=O)O)\C#N,triphenylamine,487.0,,dichloromethane,690.0,11.3,0.66,5.12,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC417B0>
1676,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc(cc1CCCCCC)c1ccc2c(c1)c(c1ccc(cc1)C(C)(C)C)c1c(c2c2ccc(cc2)C(C)(C)C)cc(cc1)c1cc(c(s1)/C=C(\C(=O)O)/C#N)OCCCCC,triphenylamine,494.0,,chloroform,722.0,13.42,0.66,6.42,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41760>
1677,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc2c(c1)c(c1ccc(cc1)OCCCCCC)c1c(c2c2ccc(cc2)OCCCCCC)cc(cc1)c1sc(c(c1)OCCCCC)/C=C(\C(=O)O)/C#N,triphenylamine,,,-,708.0,13.68,0.63,6.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41710>
1681,N#C/C(=C\c1cccc(c1)C#Cc1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)/C(=O)O,diphenylamine,375.0,501.0,THF,498.0,1.92,0.63,0.61,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC416C0>
1682,CCCCCCc1cc(sc1c1sc(cc1C)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC)c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC,triphenylamine,436.0,,MeCN-DCM,739.4,16.02,0.63,7.42,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41670>
1684,CCCCCCc1cc(sc1c1ccc(s1)/C=C(\C(=O)O)/C#N)/C=C/c1ccc(cc1)N(c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC)c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC,triphenylamine,462.0,,MeCN-DCM,719.2,17.83,0.64,8.24,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41620>
1685,CCCCCCn1c2cc(ccc2n(c1=S)CCCCCC)N(c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,455.0,,MeCN-DCM,729.2,15.89,0.62,7.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC415D0>
1688,CCCCCCn1c2cc(ccc2n(c1=S)CCCCCC)N(c1ccc2c(c1)n(CCCCCC)c(=S)n2CCCCCC)c1ccc(cc1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,445.0,,MeCN-DCM,739.4,15.94,0.624,7.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41580>
1689,N#C/C(=C\c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1cccs1)c1ccc(cc1)c1cccs1)/C(=O)O,triphenylamine,425.0,,chloroform,776.0,12.0,0.5627,5.24,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41530>
1690,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)c1cc(ccc1n2CC)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1cccs1)c1ccc(cc1)c1cccs1)/C(=O)O,triphenylamine,379.0,,chloroform,774.0,14.12,0.5827,6.37,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC414E0>
1691,CCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1cccs1)c1ccc(cc1)c1cccs1,carbazole,372.0,,chloroform,674.0,4.2,0.6659999999999999,1.88,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41490>
1692,CCCCCCCCn1c2cc3c(cc2c(=O)c2c1ccc(c2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)n(CCCCCCCC)c1c(c3=O)cc(cc1)c1ccc(o1)C=C(C(=O)O)C#N,triphenylamine,534.0,,THF,776.0,12.42,0.71,6.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41440>
1693,CCCCCCCCn1c2cc3c(=O)c4cc(ccc4n(c3cc2c(=O)c2c1ccc(c2)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCC)c1ccc(o1)C=C(C(=O)O)C#N,triphenylamine,540.0,,THF,773.0,12.06,0.69,6.39,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC413F0>
1694,CCCCCCCCn1c2cc3c(=O)c4cc(ccc4n(c3cc2c(=O)c2c1ccc(c2)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)CCCCCCCC)c1ccc(o1)C=C(C(=O)O)C#N,triphenylamine,539.0,,THF,794.0,11.78,0.69,6.46,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC413A0>
1699,CCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCC)c1ccc(cc1)c1ccc(s1)c1ccc2c(c1)C1(OCCO1)C1(c3c2ccc(c3)c2ccc(s2)/C=C(/C(=O)O)\C#N)OCCO1,triphenylamine,420.0,,chloroform,688.0,9.4,73.7,4.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41350>
1700,CCCCCCN1c2ccc(cc2CCc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,459.0,,dichloromethane,672.0,10.27,0.69,4.78,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41300>
1701,OCCCCCCN1c2ccc(cc2CCc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,459.0,,dichloromethane,710.0,9.48,0.67,4.52,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC412B0>
1702,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)CCc1c(N2CCCCCCOc2ccc(cc2)C(=O)O)ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,458.0,,dichloromethane,726.0,10.46,0.64,4.88,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41260>
1703,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,424.0,560.0,dichloromethane,583.0,6.5,0.73,2.75,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41210>
1704,OC(=O)CN1C(=S)S/C(=C/c2cc(c3cccs3)c(cc2c2cccs2)/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,464.0,693.0,dichloromethane,524.0,3.1,0.73,1.19,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC411C0>
1705,OC(=O)CN1C(=S)S/C(=C/c2cc(Cl)c(cc2Cl)/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,480.0,706.0,dichloromethane,526.0,3.4,0.72,1.29,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41170>
1706,OC(=O)CN1C(=S)S/C(=C/c2cc(Br)c(cc2Br)/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,478.0,682.0,dichloromethane,525.0,3.0,0.73,1.14,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41120>
1707,OC(=O)CN1C(=S)S/C(=C/c2ccc(cc2)/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,468.0,691.0,dichloromethane,590.0,7.8,0.71,3.27,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC410D0>
1709,N#C/C(=C\c1cc(C#N)c(cc1C#N)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,500.0,682.0,dichloromethane,480.0,1.3,0.7,0.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41080>
1710,N#C/C(=C\c1cc(c2cccs2)c(cc1c1cccs1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,425.0,626.0,dichloromethane,630.0,8.1,0.68,3.49,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC41030>
1711,N#C/C(=C\c1cc(Cl)c(cc1Cl)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,444.0,644.0,dichloromethane,704.0,8.1,0.68,3.86,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D030>
1712,N#C/C(=C\c1cc(Br)c(cc1Br)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,441.0,640.0,dichloromethane,668.0,9.4,0.69,4.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D080>
1713,N#C/C(=C\c1ccc(cc1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,438.0,625.0,dichloromethane,760.0,9.7,0.72,5.33,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D0D0>
1718,OC(=O)CN1C(=S)S/C(=C/c2ccc(cc2)N(c2ccccc2)c2ccc(cc2)/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,476.0,605.0,dichloromethane,664.0,4.8,0.72,2.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D120>
1719,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1ccc(n1c1c(cccc1C(C)C)C(C)C)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,455.0,,THF,720.0,13.5,0.69,6.71,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D170>
1720,N#C/C(=C\c1cc(n(c1c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1c(cccc1C(C)C)C(C)C)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,418.0,,THF,760.0,11.11,0.71,6.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D1C0>
1721,CCCCCCCCCCCCOc1cc(C#Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)c(cc1C#Cc1ccc(cc1)C=C(C(=O)O)C#N)OCCCCCCCCCCCC,triphenylamine,407.0,506.0,THF,730.0,9.3,0.49,3.61,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D210>
1722,CCCCCCCCCCCCOc1cc(C#Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)c(cc1C#Cc1ccc(cc1)C(=O)O)OCCCCCCCCCCCC,triphenylamine,393.0,471.0,THF,790.0,6.64,0.59,3.06,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D260>
1723,N#CC(=Cc1ccc(cc1)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,399.0,579.0,THF,710.0,8.56,0.47,2.89,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D2B0>
1724,OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,367.0,458.0,THF,700.0,4.62,0.62,2.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D300>
1729,N#C/C(=C\c1cc2c(s1)c1c(s2)cc(s1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,472.0,640.0,dichloromethane,570.0,7.3,0.65,2.76,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D350>
1730,CCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCC)c1ccc(cc1)c1ccc2c(c1)C1(OCCO1)C1(c3c2ccc(c3)c2ccc(s2)/C=C(/C(=O)O)\C#N)OCCO1,triphenylamine,418.0,,chloroform,697.0,8.5,75.9,4.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D3A0>
1731,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,432.0,568.0,THF,601.0,7.84,0.73,3.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC4D3F0>
